Facility_ID,Overall Rating,Recommendation Score,Nurse Communication,Doctor Communication,Staff Responsiveness,Medicine Communication,Discharge Information,Care Transition,Cleanliness,Quietness
110111,89,88,91,89,82,72,82,82,87,90
110113,91,90,92,94,87,78,87,83,84,90
110121,90,89,92,94,83,72,84,83,86,87
110122,86,85,90,90,82,75,84,79,82,88
110124,89,86,93,90,87,75,85,82,89,88
110125,90,88,94,93,86,81,84,82,85,88
110128,90,89,93,93,86,76,86,82,89,89
110129,86,84,89,90,80,71,83,79,82,85
110142,89,90,93,92,85,72,83,81,90,88
110143,83,81,87,88,75,70,79,77,83,81
110146,85,84,92,90,84,72,84,82,89,85
110150,83,79,88,87,79,69,84,77,80,83
110161,90,90,91,91,81,75,86,82,90,84
110164,87,87,89,89,79,72,85,78,86,85
110165,78,70,82,85,72,67,72,73,77,79
110168,89,89,92,91,83,75,83,81,86,83
110177,85,85,88,88,77,70,80,77,82,79
110184,86,85,90,91,81,73,84,79,87,83
110191,81,76,87,87,78,67,78,74,81,79
110192,82,79,86,86,77,70,76,76,81,80
110198,81,78,84,88,72,62,78,76,73,73
110200,90,91,91,92,84,75,85,82,88,83
110201,87,87,89,90,77,74,79,78,85,87
110215,88,88,89,90,78,72,82,79,80,84
110225,87,86,90,90,83,75,84,79,86,82
110226,84,83,88,89,78,70,72,76,89,87
110229,85,84,88,89,77,72,78,77,78,83
110230,88,88,86,90,76,69,82,79,84,84
110233,93,94,93,93,84,83,90,86,92,90
110237,89,89,95,91,86,79,79,81,84,85
110252,89,89,89,90,79,75,85,81,92,85
11029F,81,77,85,89,77,73,77,77,82,81
11030F,88,86,90,93,82,79,86,84,84,83
11032F,93,91,95,95,89,85,90,87,94,90
11033F,93,92,96,96,94,85,91,88,89,85
11035F,90,87,94,91,88,84,92,84,92,88
111304,94,95,95,95,90,84,89,84,92,92
111310,90,89,92,90,85,81,83,82,89,91
111323,92,92,95,91,90,84,90,83,90,91
111327,91,91,92,94,87,83,85,82,82,89
111329,91,92,93,95,87,79,86,84,91,88
111337,88,86,92,93,83,76,87,80,91,86
120001,89,89,91,91,83,79,85,82,88,77
120002,84,84,91,90,83,78,84,79,83,78
120005,86,86,90,91,83,76,85,79,88,68
120006,90,90,94,92,87,81,88,83,92,86
120007,84,82,89,90,81,74,81,78,90,77
120011,92,92,93,94,84,80,90,83,87,80
120014,89,89,92,94,84,79,86,83,88,83
120019,83,81,90,89,80,76,84,79,90,71
12001F,89,87,93,93,87,81,89,84,90,82
120022,91,92,92,93,85,76,86,82,85,81
120026,89,90,91,91,82,78,85,81,88,80
120028,89,92,92,90,85,77,89,81,84,84
130002,88,87,91,90,84,75,91,81,92,82
130003,84,82,91,90,86,76,86,78,88,78
130006,91,91,93,92,85,81,91,84,89,85
130007,89,90,90,91,83,74,88,82,84,83
130013,90,91,91,91,84,78,88,80,89,87
130014,92,91,94,92,87,84,90,84,91,88
130018,85,85,89,89,83,72,86,78,87,81
130025,88,87,91,93,85,77,87,81,83,82
130028,86,84,90,89,84,73,85,80,84,82
13003F,93,91,94,93,90,88,86,86,92,87
130049,88,88,91,91,80,74,87,81,81,78
130063,95,97,96,96,95,86,91,86,90,90
130065,90,92,91,93,85,74,86,84,86,76
130066,94,95,95,94,91,83,91,86,88,88
130071,92,92,93,91,84,80,91,83,90,86
130074,91,93,93,93,87,79,88,82,85,89
131322,94,91,94,96,94,88,93,87,91,85
131323,92,92,94,95,87,81,89,85,88,84
131325,88,87,91,93,85,83,90,85,87,83
131326,88,85,92,93,83,83,87,82,90,84
131327,91,90,93,92,91,82,89,82,88,87
131328,87,84,93,91,90,80,82,79,82,88
140001,88,86,92,94,84,78,90,82,86,82
140002,90,90,92,91,87,78,90,83,82,83
140007,83,79,88,88,79,72,83,78,79,83
140008,82,79,89,90,78,70,78,77,84,82
140010,89,89,91,91,84,74,88,81,87,84
140011,87,88,92,90,84,79,85,80,90,80
140012,85,83,88,87,86,71,82,77,92,83
140013,83,81,89,88,76,72,79,77,77,76
140015,88,86,92,89,83,74,88,81,90,82
140018,78,74,84,90,71,69,80,74,73,76
140029,87,87,91,90,79,74,86,81,87,78
140030,90,90,93,90,84,77,89,82,90,85
140032,90,86,93,93,88,81,90,81,90,85
140034,86,84,93,93,84,77,87,81,88,84
14003F,89,86,91,92,78,79,88,83,86,81
140043,88,85,92,91,83,76,86,80,90,80
140046,88,87,92,91,86,80,87,81,87,85
140048,84,81,90,90,79,73,85,78,83,80
140049,77,75,85,87,74,73,79,74,83,80
140052,91,89,93,92,87,79,90,82,89,81
140053,86,86,90,89,78,72,85,80,77,80
140054,85,83,89,89,83,74,87,80,84,78
140059,91,91,96,93,95,82,84,82,86,89
140062,87,85,91,90,80,73,83,80,80,82
140063,84,83,90,90,79,76,80,78,81,79
140064,86,85,91,91,83,76,88,80,83,78
140065,88,88,91,91,86,76,87,81,87,85
140067,85,85,90,89,76,73,86,80,76,76
140068,75,66,80,83,74,69,77,70,79,77
14007F,87,87,91,92,83,79,83,82,83,80
140080,86,83,89,87,80,72,81,77,87,77
140082,80,77,87,88,76,68,78,75,83,79
140084,79,73,86,86,77,68,79,75,83,79
140088,88,89,91,92,82,76,87,82,81,85
140089,89,83,91,92,84,78,90,81,86,84
14008F,91,93,95,93,93,85,89,84,91,85
140091,89,88,92,89,84,76,88,82,87,82
140093,82,79,90,87,78,71,85,77,83,80
140095,86,82,87,90,80,70,82,74,85,79
